FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4586,8265,683 - Lana,01 - Obstbau,18 - Fuji,lehmiger Sand,3.6,6.7,+  geringer bis mittlerer Karbonatgehalt,0,36,22,32,1.06,53,19,26,1985/3,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666480,5162851
4587,8266,683 - Lana,01 - Obstbau,10 - Pink Lady,schluffiger Sand,3.5,6.8,++  hoher Karbonatgehalt,0,29,21,27,0.83,37,32,25,1848/35,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,666816,5162805
4588,8268,683 - Lana,01 - Obstbau, ,humoser lehmiger Sand,5.4,6.6,+  geringer bis mittlerer Karbonatgehalt,0,43,16,27,1.23,78,101,33,2354,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666110,5162836
4589,8269,683 - Lana,01 - Obstbau,45 - Verschiedene,schluffiger Sand,3.4,6.1,0  kein freies Karbonat,0,24,21,19,0.69,49,38,36,1848/55,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667152,5162807
4590,8270,683 - Lana,01 - Obstbau,45 - Verschiedene,schwach lehmiger Sand,3.5,6.7,+  geringer bis mittlerer Karbonatgehalt,0,26,27,29,1.25,85,60,37,1853/45,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,667300,5162842
4591,8271,683 - Lana,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,4.6,6.9,+  geringer bis mittlerer Karbonatgehalt,0,25,16,33,0.85,64,21,22,1949/2,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666617,5162845
4592,8272,683 - Lana,01 - Obstbau,45 - Verschiedene,schwach lehmiger Sand,3.5,6.7,+  geringer bis mittlerer Karbonatgehalt,0,26,27,29,1.25,85,60,37,1853/46,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,667303,5162834
4593,8273,683 - Lana,01 - Obstbau,26 - Granny Smith,humoser lehmiger Sand,5.3,6.4,+  geringer bis mittlerer Karbonatgehalt,0,23,12,35,1.1,70,80,21,1994,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666233,5162837
4594,8275,683 - Lana,01 - Obstbau, ,schluffiger Sand,1.5,7,+  geringer bis mittlerer Karbonatgehalt,0,12,18,31,2.36,78,10,10,1986,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,666343,5162804
4595,8276,683 - Lana,01 - Obstbau,18 - Fuji,lehmiger Sand,3.6,6.7,+  geringer bis mittlerer Karbonatgehalt,0,36,22,32,1.06,53,19,26,1985/4,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666514,5162831
